,0,task
0,These headphones are the perfect mixture of BOTH.,0
1,"Plus, the cups themselves are not too big and bulky, so they're very easy to carry around and fit in your backpack.",0
2,I have a feeling I could slice open the cable and find a loose connection somewhere.,0
3,I would say this is a very nice pair of headphones for the price you are paying for them.,0
4,"When they came in the mail, he was thrilled.",0
5,"I received a 3.5mm male jack, but have easily fixed this foible with an adapter for $0.90.",0
6,Thought about trying others just to compare but had to stick with this great product at a great price.,0
7,"I'm not sure whether if the sound had to do with the apple products, but both the Sony headphones, and my old generic $10.00  store bought headphones produced the same sound.",0
8,"Got these headphones based on a review in a magazine, and it was spot on.",0
9,"It remains to be seen how the collapsible neck piece stands up, but initial build quality seems good.",0
10,"I wish they were smaller, and I'd like a version that goes over the top of the head (instead of over the back).",0
11,"I had purchased a much more expensive, brand name set and found they hurt my ears.",0
12,I bought one of these 2 years ago.,0
13,The only difference between these functions it how long the button is held or whether it is hit more than once.,0
14,The hard plastic of the headphones band does irritates my ears after about 1 hour of use.,0
15,"They are moderately comfortable, but can get a bit painful when using them for a long period of time.",0
16,I purchased this for my wife for Christmas.,0
17,"I did shake my head and they didn't fall off, but I still had the uneasy feeling about them.",0
18,It has pretty long range too?,0
19,Sounds good for the modest price.,0
20,Mediocre product and performance.,0
21,So let's just say they could be more comfortable when your head is lying on a pillow.,0
22,It is compatible with Apple products.,0
23,I'm 5 foot 8 and I suspect my head is about average size for my height and they fit perfectly.,0
24,"So far I'm not having any problems with one-side going out, no strange noises.",0
25,Overall decent for the price and for the style which seems to be somewhat rare.,1
26,These can be bought for prices as low as $14 or $12.,1
27,"Update - 9/16/15

After trying to use these things for a month I've given up.",1
28,I trust and love Kiniv.,1
29,Light weight and good sound quality (it's no Bose but decent for the price).,1
30,"Now, these headphones will not blow you away in terms of audio performance, and this was not the reason that I purchased and/or love them.",1
31,They seem to be well constructed yet are really too heavy for long term wear (an hour is a long time to wear these).,1
32,They are snug and perhaps painful with extended use.,1
33,"these are nice, the bluetooth connection and not having to use a wire is nice, but these weren't loud enough for me, I used these in the gym the first day and it didn't block out all the gym noises like with my regular apple ear pods",1
34,The units fit snuggly behind my ears providing clear listening and comfort.,1
35,They fit my grand-daughter's head perfect so they can listen to television without disturbing others.,1
36,Bought these because a lot of people were giving them crazy good reviews saying they were amazing for the money.,1
37,"However, the earphone material broke away and it felt uncomfortable to use.",1
38,I've looked at all the other Bluetooth headset on here and this one was my number one choice and #1 recommended.,1
39,Update: The company contacted me.,1
40,I bought this pair to replace my Sony MDR-V150 headphones which have deteriorating ear pads.,1
41,The sound is good for the price and the wire is not flimsy.,1
42,"It should be noted that they can be had from Best Buy for $20 with free shipping, rather than the $40 amazon is at right now.",1
43,I was skeptical when I purchased these headphones because of the low price.,1
44,I got these to replace in-ear headphones because I'm prone to ear infections but geez even with the volume turned way up they don't block outside noise at all.,1
45,I need a little tighter fit to make them a 5 star rating.,1
46,"I don't care much about audio quality beyond a certain level of competence, but have gone through dozens of headphone models, and these are decent on that count, certainly better than your typical earbuds.",1
47,The bass has punch (although still not going to deliver what I'm _really_ looking for) and the highs are clean.,1
48,"For the price, these are unbeatable.",1
49,And plenty of reviewers here swear by their comfort and ability to stay on while exercising.,1
50,The only drawback was they weren't long enough to watch my tv from bed.,2
51,Decent bass response.,2
52,Worked for about 5 months before dying.,2
53,$15 for over the ear headphones is a good price.,2
54,"So all the similarities are there, someone said the size of these protruding are smaller than others but i found them to be the same.",2
55,I wanted to replace the USB Microsoft LifeChat I use with Bluetooth headphones.,2
56,They work great when placing phone calls as well.,2
57,I do not like those earbud style headsets.,2
58,Talk about cool in a restaurant.,2
59,"Nice headphones for the money, but the mic and noise canceling is very poor.",2
60,"Though, this is going to vary on a person by person basis",2
61,You won't regret it!,2
62,"I thought she was old enough for this style rather than just ear buds, and for the cost of a modest set of buds, these are really good-sounding, well-designed headphones.",2
63,Guess I'll never know that though.,2
64,The ear padding gets really wet for me and feels slippery which creates an uncomfortable feeling.,2
65,They seem to be well constructed yet are really too heavy for long term wear (an hour is a long time to wear these).,2
66,They come with a micro usb charging cable and a velvet-like pouch for storage.,2
67,Cups/cans are too small to go around your ear.,2
68,Happy with the price point and glad I purchased them.,2
69,"I think either the technology is still evolving or better technology is still costly or else, speakers at this cost are meant to be this way.",2
70,Why wouldnt you buy these they are perfect for jogging or taking to school to and plug into your laptop.,2
71,I've had mine for two years and it's still going strong!,2
72,great value for stereo bluetooth headset.,2
73,Audio keeps repeatedly cutting out when there's a slight movement (e.g.,2
74,Work great for everyday use and the battery life seems good.,2
75,"For the price you cannot do any better on Amazon, believe me I've checked.",3
76,I looked at the manufacturer's photos and I am wearing them properly.,3
77,The Amazon product page lists them as circumaural.,3
78,Its more about the comfort while using it,3
79,The sound is really not to be beat for this price.,3
80,I was really surprised at the sound quality and also how comfortable this headphone is.,3
81,"My coworkers often make comments about my ""fancy headphones,"" but at this price I don't worry about leaving them at work overnight.",3
82,overall a great purchase for a great price!,3
83,The controls are very intuitive.,3
84,If I move my head up or down it moves the earpieces.,3
85,These can be bought for prices as low as $14 or $12.,3
86,"The 10 hour battery life isn't a big deal, as I only use them for listening to music at work, and I charge them overnight.",3
87,"Skeptics guide to the universe is my favorite, cheap plug while i have the chance, and it sounds awesome.",3
88,"They work fine, but the sound quality is typical of $20 headphones.",3
89,2) The headphones don't fit very snug.,3
90,"""I listen to my radio at a reasonable volume.""",3
91,"I've had them for over two hours, listening to Alpha/ BiNatural beats while reading.",3
92,"great product i strongly recommend it, shiped very very fast it came in a day ahead, also it paired at once the voume is great and I use it on my galaxy 8 tablet",3
93,"For the price I paid, I'm happy with the quality.",3
94,Don't buy these if you like your music loud!,3
95,"As a musician, gamer, student, and office worker, I have a few different kinds of headphones.",3
96,"At the price point I bought them I didn't expect much, a few months of kids beating on them at most, and I expected decent sound but not much more.",3
97,"If you consider the price, it can't be any better than this product.",3
98,Fast delivery and great product.,3
99,I've bought these headphones like 4 times in a row now.,3
100,Had the BTH220 for a year and they work good but don't last over 3 hrs on a charge.,4
101,Really happy with this purchase.,4
102,So I rate 4 stars.,4
103,Most of people said it is good for all part.,4
104,Worked for about 5 months before dying.,4
105,I would say they look better and they seemed a bit smaller around the head but overall I prefer the SoundBot's in this price range.,4
106,Mid range and bass sound flabby and out of shape causing the highs to sound choppy.,4
107,"when they arrived, at first look I was worried about the non-adjustability of these because,as a female, my head is kinda small, but they fit OK.",4
108,The sound is decent and they are pretty sturdy.,4
109,"The Kinivo BTH-240's do however sound clean, clear and just as good as high end ear-bud's.",4
110,Fit well on my head.,4
111,Knocked rating down to one star because of this.,4
112,I don't know if I should get these or the new ones...,4
113,Overall decent for the price and for the style which seems to be somewhat rare.,4
114,I had already purchased the Kinivo BTH3 headphones for at work and wanted an economical solution for those random times when I just want to get away from all the other noises at home and focus on my computer.,4
115,They are very comfortable.,4
116,"Overview: These Sony Stereo Headphones don't have any sound quality, comfort, or build quality (everything you want in headphones), but they are cheap.",4
117,He's loves them.,4
118,"but for about $25, these have become my most reliable workout buddies for the past 3 months, in spite of my manhandling and excessive perspiration.",4
119,"I have owned many Koss's, Sennheiser's, Sony's, Audio Technica's, and even some Bose.",4
120,These headphones are a godsend.,4
121,i think they are better then just basic ear budds.,4
122,"However, if you can spend a little bit more, I would suggest spending 100-200$ for a much punchier and clearer sound.",4
123,There was a lack of bass compared to my Sony MDR-XB500's.,4
124,I also own the venerable V6's.,4
125,"I use them on my bike trainer so I can watch TV without having to turn the volume up to 100, and I don't have to adjust them every 5 seconds.",5
126,It is does not have noise reduction but since it is cheap it is worth it.,5
127,I noticed when I put my hand over the side with the controls it really interferes with the connection.,5
128,"These are, in my opinion, quite a step up.",5
129,"Other than that, I think that they are great.",5
130,"They are cheap and produce good, clear sound into your ears.",5
131,I find myself wearing them for hours at a time.,5
132,"If he wouldn't have kept them I would have given them a 2, but he thinks they're just fine and hasn't experienced any issues with them.",5
133,"Battery life is almost amazing, I haven't really even had to worry about it much.",5
134,These are also very sturdy.,5
135,I'm surprised how bad the sound is.,5
136,"Sound is good :D
Although, the headphone jack made static-y sounds in the beginning when i moved it.",5
137,"I had the older vesion of these headphones and those were lightweight, and suprisingly, built like a tank.",5
138,I have apple head phones from 2 years ago and I kick the crap out of them and still no damage and no drop in performance.,5
139,Happy with the price point and glad I purchased them.,5
140,They paired with my iPod and my Galaxy 3 Droid phone effortlessly.,5
141,"Overall, great product and worth the cost!",5
142,"For two days I kept rearranging them, thinking I had to be wearing them wrong, because no one would intentionally make headphones this uncomfortable.",5
143,Some people have talked about the lack of bass.,5
144,"- Very affordable

Cons:
  - No battery indicator, but it starts beeping in your ear when it's getting low.",5
145,The biggest difference between these and the old V 150's is that those were very dark and even more veiled sounding.,5
146,"Perhaps it's because of the fit, though.",5
147,Outstanding product.,5
148,"The headphone is functioning properly,good sound,good mic reception, easy to configure.",5
149,Tried it for a short bit around the house.,5
150,The left speaker blew out after about two months of use.,6
151,I have had them for a few months.,6
152,"back on they go...she is disabled so i,m glad to have  something of good quality that she gets so much joy from,  and at a reasonable price,  thanks again.",6
153,"If you consider the price, it can't be any better than this product.",6
154,We could go through about 8 of these in a year and still not hit the prices of one pair of Beats!,6
155,Bluetooth should work within 30 feet.,6
156,"Anyway I was looking for the dj style that covers the ears and provide at least some noise reduction, for under 20 doll-hairs.",6
157,Luckily the main box was fine and nothing was broken.,6
158,"My only complaint about these is that they emphasize bass a little too much, but they're definitely a solid option if you're looking for an inexpensive set of headphones for your office or when you're on the subway.",6
159,This was my ideal situation!,6
160,The sound quality isn't so good but the looks and brand name of Sony alone make up for it.,6
161,"The sound quality is not breathtaking my any means, but I believe a very good value for the price.",6
162,Dollar for dollar you cant beat this product.,6
163,I really wanted to get away from the wired ear buds I was using in the office as I would rip them out anytime I turned around.,6
164,Volume and Track control right on the ear for great hands free use.,6
165,But it's a good deal for what I'm using it for.,6
166,"Comfortable, and sound quality is decent enough you don't hate life.",6
167,Just pay attention to the short instructions and this headset could not be easier to connect (Windows 8.1).,6
168,It was delivered one day ahead of the scheduled date.,6
169,"However, it would be even better of they had the option to connect to devices that do not carry the blue tooth feature.",6
170,This is still applicable even during calls.,6
171,"For $10-15, these are great.",6
172,Don't buy these.,6
173,"I bought these for my dear hubby, at his request.. No personal experience, just his word.",6
174,"Not too flexible, so wide heads may have difficulty.",6
175,Very disappointed of these headphones because it came out of the box playing out of only the right side... You may not get a defect like me but if you are unfortunate enough to get one then it's very inconvenient.,7
176,The cord is still 8ft but the head set is comparable in size to the Sony's.,7
177,I felt they were going to fall off at any moment.,7
178,"i was discussed with the sound quality of these headphones, Sony dropped the ball on these.",7
179,"I have only had the headphones for a day, but I am impressed.",7
180,I'm just a reg joe and I also have a pair of boss and a pair of beats.... but I use these for work and I bring them home so the kids use.....,7
181,I can't understand how these are so highly rated.,7
182,The bass is weak and oppressed.,7
183,They block background noise well!,7
184,The control buttons work smoothly and my iPhone 6 connected immediately and the calls are easy to answer and crystal clear.,7
185,The headset is overall a good pair of headphones.,7
186,I prefer these over the Jay bird 2s that cost $170.,7
187,"2014 CHristo as my Grandma purchased these head phones for me, they were great till late November of this year.",7
188,-connectivity issue.,7
189,"Works fine, but not satisfied with quality.",7
190,Your guess is as good as mine!,7
191,I would definitely recommend them!,7
192,I'm sure others like this option but it does not fit my needs.,7
193,I was skeptical getting these as I'm coming from having Rocket Fish bluetooth headphones.,7
194,My earbuds are stronger and are more comfortable.,7
195,"Yes I know they are 15 bucks, but I really expected more given the reviews on Amazon.",7
196,they are very comfortable and I have used them a lot.,7
197,Owned for over 6 months and still very happy.,7
198,iv had them for over 6 months and they fit really well (i have a big head)i use them EVERY DAY!,7
199,Can be comfortably worn for about 3 hours before the ear cushioning becomes flat and starts to hurt ear cartilage.,7
200,One of the speaker has stopped working and I can't use it any longer.,8
201,"Well, when compared against my old Sony noise canceling ones, these are pathetic.",8
202,Love how you can adjust for comfort.,8
203,"But again, it lacks the hardshell protection from heavier objects.",8
204,"My only quibbles are the fit (they keep sliding off of my ears -- I have small ears and long hair that tucks behind my ears and I often wear the headphones and sunglasses at the same time, and the headphones won't stay on.",8
205,"Good for music and calls , do not recommend for work outs, they fit behind the head and have a tendency to fall off .",8
206,For the past 12 years I've always bought LabTec 820's but since they've stop making those I had to resort to these headphones.,8
207,"Well, these dont... they're smaller than they look... they sit ON your ear, not OVER it.",8
208,Not expensive but works great.,8
209,I'll update this review in a few months when they're good and burned in and I get them away from him for a bit to listen again.,8
210,They are light and pretty comfortable (very comfortable compared to ear-buds).,8
211,"I bought these for my dear hubby, at his request.. No personal experience, just his word.",8
212,"They were ready to test right out of the box, and connected very easily to my phone and laptop.",8
213,They fit well on the ears.,8
214,The only complaint that I have is the headband isn't quite big enough for my head.,8
215,"However 90% of the time, they work and work well.",8
216,He has nothing but great things to say about this product.,8
217,"But as they are, I cannot recommend them.",8
218,The sound quality is better than about 95% of the other headphones I've ever owned (all were wired).,8
219,"Sound is balanced, not too much of anything (so the bass wasn't that good for electronic music and such, but it was there)but a little muffled.",8
220,"Though, this is going to vary on a person by person basis",8
221,"I don't expect bose quality on a $30 pair of headphones, but they are pretty darn good!",8
222,I've used them regularly for several months now and am still pleased with the quality.,8
223,These things are great.,8
224,It needs charging probably once or twice a week with regular use.,8
225,The hearing quality of this headset is good but they fit loose on my ears.,9
226,"Call quality is solid, and being able to walk around the office while on a call is wonderful.",9
227,I have a wonderful 12 yr old who breaks everything that he touches.,9
228,Perfect for starter headphones before you spend hundreds on others.,9
229,"Very good quality, just the right amount of bass and does cancel out background noise pretty well.",9
230,Fit is good for adults with an average to above average size head.,9
231,The material appears sturdy enough.,9
232,Not too shabby for the price dynamic range 8 out of 10 depends on the output of you're system at my age 40+ hendrix and clapton always sound like gods.,9
233,These are my primary headphones doe.,9
234,They are compact and lightweight.,9
235,"Sounds like a $50 pair of headphones, not a $15...VERY worth it.",9
236,I'd give it 5 stars for sound and comfort.,9
237,"Overall: decent headphones, obviously they're $15 so they're not great, but they do good enough.",9
238,The only issue I have ever had is after 5 years of continuous use and abuse the headband has become loose (grip wise) so when I bend down they have a tendency to start slipping off.,9
239,"Now, I figured since it was suck a bargain there would be a catch, and of course there was.",9
240,I didn't realize how much I missed the bass that my earbuds didn't supply.,9
241,They will amaze you!,9
242,It's not very comfortable either.,9
243,My teenage son uses them constantly and hasn't had any problems.,9
244,They fold up nicely.,9
245,It is does not have noise reduction but since it is cheap it is worth it.,9
246,"They pair easily, rarely skip even for a second and have a very decent range (25-30 feet).",9
247,I bought my first pair of these in 2013.,9
248,"""It appears that you ordered a pair of Sony headphones for $15.86.",9
249,Great headphones.,9
250,"For this reason, I will eventually be buying new headphones... at least these were cheap.",10
251,These are good for the price.,10
252,Very comfortable too.,10
253,I have seen amazing reviews of this product on amazon and that's why I ordered it.,10
254,He uses them often with his iPod.,10
255,These headphones are extremely uncomfortable to use for more than a few minutes at a time.,10
256,"Even though I have a fairly small head, they are tight.",10
257,The only thing I miss in these headphones is padding on top.,10
258,"I had purchased a much more expensive, brand name set and found they hurt my ears.",10
259,The bass is just awesome.,10
260,"great product i strongly recommend it, shiped very very fast it came in a day ahead, also it paired at once the voume is great and I use it on my galaxy 8 tablet",10
261,These headphones... Wow.,10
262,These headphones are hard to beat for the price.,10
263,i was considering for weeks getting some dre beats headphones for my workouts but for 200 dollars they better come with a mobile personal DJ.. gave these a try and am very happy with the sound and comfort and saving $175 for the holidays,10
264,The collapsible headphones make for easy storage but because of this the headphones are small on the head.,10
265,They're just not for me.,10
266,I wasn't expecting a whole lot for $25 so I am pleasantly surprised.,10
267,I dunno if Igot a bad one this time or not.,10
268,I paired it with the TaoTronics TT-BA02 Wireless Portable Bluetooth Stereo Music Transmitter.,10
269,"not much power under the hood coming from an ipod touch 4, and it isn't comfortable like anything you spend big bucks for.",10
270,I need head phones to listen to my ipod.,10
271,"Overall I give this product a huge thumbs up on price, sound, and durability!!!",10
272,"I might have gotten a defective one - my last pair lasted MUCH longer - but even so, very disappointed.",10
273,"Well, when compared against my old Sony noise canceling ones, these are pathetic.",10
274,"It also can't seem to communicate properly with my iphone, so that the phone constantly flips over to loudspeaker mode.",10
275,I checked out the Amazon reviews and also noticed that thewirecutter.com gave them a very good review.,11
276,They don't really serve the purpose for what I wanted them for.,11
277,I've looked up how to fix this online and tried other earbuds/headphones and they worked just fine on my computer.,11
278,Mine lasts 1 year (I used it when running.,11
279,The fit is good.,11
280,"I tried the jaybird bluebuds x, and the backbeat fits, both good headphones.",11
281,"Able to use these with my computer, iPad, and iPhone, no issues.",11
282,I stongly recommend in investing in these headphones.,11
283,Fit is good for adults with an average to above average size head.,11
284,"At this moment, I am listening to music on my GNote with this headset and I am hearing both excellent treble and bass.",11
285,This Sony product is the best stereo headphone I have purchased to date and it exceeded my expectations.,11
286,"So I'll write the review with that usage in mind:

Pros:  It's lightweight on your head and is comfortable as you move around.",11
287,I bought this for my 14-year-old.,11
288,Had them for only about a few weeks and they are busted....just buy something else.,11
289,"All other affordable headphones have only lasted me a few months, so, needless to say, I was very pleased with this pair.",11
290,And then last month another side of this product didn't fuction well.,11
291,I was amazed by the quality of these headphones.,11
292,This is my second set of these to keep separate places so I don't ever forget a pair.,11
293,I was also very surprised at how comfortable they are.,11
294,These have held up for months without issue.,11
295,Every so often they start to cut out even if my phone is in my hand or nearby.,11
296,This wasn't a bad sound--if you like blues and jazz this set would be good with that warm sound.,11
297,These got through 4-5 days before they needed to be charged.,11
298,Very disappointed!!,11
299,"Though, this is going to vary on a person by person basis",11
300,I have used it for about a month now and I love this product.,12
301,If you want your moneys worth than your gonna have to spend a little money to get the quality you want.,12
302,"Very clear sound, comfortable and light weight.",12
303,"This headset is no disappointment very comfortable to ware (I have big head and I will usually feel pressure on my head after 4 hours of wearing it, pretty good compare to 2 hours or less when I wear my other expensive pare)

Highly recommend.",12
304,Used them for about 3+ hours today while on the stationary bike and they didn't feel uncomfortable even after.,12
305,They sound great and have a nice base.,12
306,The wires are great because of being flatter they are more able to bend without stressing the connection to the headphones themselves.,12
307,Range is easily to into the next room of my electronically noisy house.,12
308,Wonderful headphones.,12
309,The MDRZX100 are going to a trash bin.,12
310,Decent sound for the price.,12
311,They stay in place while running and can get loud enough to block out surrounding noise.,12
312,"These did the trick, and for less than 20 dollars.",12
313,These headphones are a pleasant surprise.,12
314,"However, it does it's job quite well overall.",12
315,Had a white pair that's lasted me 4+ years and bought this pair for my boyfriend because his previous pair from Zagg had a cord that broke after one year.,12
316,These are classics.,12
317,These are not the best headphones ever but the sound quality is about the same as a pair of $100 headphones.,12
318,So if it has perfect sound...I can't judge.,12
319,I really look forward to the times when there isn't a lot of background noise and I get to put these on.,12
320,"Can go anywhere in my 2 story house, including the basement with good signal from the tablet.",12
321,The ear cups are a little small for me.,12
322,I was surprised how easy it was to set up.,12
323,He loves these headphones and takes them to the gym with him because he likes to listen to music or talk on the phone without having to worry about a cord.,12
324,I have used the bth220 model for the past year and love them but wanted a second pair.,12
325,"It should be noted that they can be had from Best Buy for $20 with free shipping, rather than the $40 amazon is at right now.",13
326,I purchased a headset before these for 11 dollars and the connection on those were beyond better than the kinivo set.,13
327,"Although I received this item as ""refurbished"", it looks brand new and is in PERFECT working condition.",13
328,"The sound quality is more improved than the original, and while these headphones do not isolate the user from his or her surroundings, the audio quality is still very crisp and clear.",13
329,"I'm not sure if they will be durable just thrown in a bag, I think I'll have to be careful with them...",13
330,I bought one for work then I bought another for home.,13
331,"Bought these on: August 8, 2014.",13
332,I bought those back in May 2013 and am just now going to purchase a new set.,13
333,"The price is so good, that I had trouble justifying paying the same amount for a protective case for them, so they won't get banged up in my backpack.",13
334,If you are looking for legit stereo sound without paying an outrageous amount these are for you.,13
335,"If you sit or lay in absolute darkness, they can light up half the room lol.",13
336,I trust and love Kiniv.,13
337,The head size is decent (I have a big head and it fits over my head comfortably).,13
338,"Also, the sound was fine, but wasn't near the quality of my $30 Sony headphones that were wired.",13
339,The price is certainly right.,13
340,I was a little worried that these would be junk... but they are awesome.,13
341,Small children I have.,13
342,After two days of having them the right side of the headphones stopped working.,13
343,"The unit connects well to my Samsung phone, good sound, etc.",13
344,I wouldn't recommend these.,13
345,Headphone is very lightweight and confortable.,13
346,I've been through a few head phones so I was something of a skeptic.,13
347,The wrap around style is super comfortable and never bounces/falls off.,13
348,I bought these a long time ago and let me first say that these last.,13
349,But there are other affordable options out there that perform a little better.,13
350,My daughter is happy to have it as it matches with her laptop colour and look expensive too with SONY logo on the earpieces.,14
351,"I will divide and conquer by category:

Sound: The sound is the main thing.",14
352,I'm still contemplating reordering because I do like them.,14
353,Inexpensive and works fine.,14
354,"During a workout, my music will gradually lower to min volume and then start beeping (because it hit the volume min limit).",14
355,I would press the wrong button and ignore a call rather than answering it.,14
356,"Now, I figured since it was suck a bargain there would be a catch, and of course there was.",14
357,Also better construction than I dreamed for the price.,14
358,She uses them with her iPod shuffle or watching movies on the computer.,14
359,The various control buttons operate with a nice firm 'click' and their positions are easily remembered.,14
360,Built quality is sub par and very disappointing emotions.,14
361,Due to their wireless nature I believe these will be more durable than wired headphones.,14
362,"This have good sound and okay bass,  they do need more treble but overall good product for the price.",14
363,"Haven't really tested out the battery life or durability yet, but I suspect they will be more than sufficient.",14
364,"I honestly got these as a secondary pair, when I don't feel like using or lending anyone my Bose.",14
365,Feels very comfortable.,14
366,Bought them as gifts for directors who were competing at a marching band event and they loved them!!!,14
367,"I had to replace them, not because they stopped working, but because I broke them trying to remove the hard plastic bar that wraps around the back of the head.",14
368,If you can find the right sized replacement.,14
369,"Behringer phones best sound output, bests the Philips, can handle volume, but emit vinyl fumes.",14
370,"With those few cons in mind, they produced admirable sound quality, paired easily and never lost connection with my phone, and most importantly don't have cords and stayed on my ears!",14
371,I now feel like I have either an oversized head or ears.,14
372,It also costed like 26 bucks.,14
373,"Because of this, this is something that's a must and these are not very loud.",14
374,*Bluetooth connectivity was a breeze (I have a Pantech Marauder android phone that found the head phones in 5 seconds).,14
375,As a telephone - sound quality when receiving and sending - I was not as impressed.,15
376,I do understand that these are on ear headphones with small drivers.,15
377,I use them on my daily walk.,15
378,Good quality stereo headphones and very attractively priced!,15
379,Only thing that is on the bad side (and it may be a similar problem with other headphones) is how to keep the cord tied down to the headphones when not in use.,15
380,I had to call Apple and they were able to help me pair it.,15
381,It's OK if you're not very picky about the sound of your music.,15
382,The price was nice ($25) they arrived the next day and I started using them immediately.,15
383,"I originally bought them to wear at the gym, and they work exceptionally well for that.",15
384,"Edit: Long time later: Feb 2016  These headphones are still great., They don't make my ears sore anymore.",15
385,I would recommend them highly based on my usage so far.,15
386,"These headphones are wonderful, I can do all those things and more and not have to worry about a cord getting tangled or tying me to my phone.",15
387,"I used them for several hours every day, and only charge them up once a week.",15
388,Also syncing took a great deal of attempts and time to work.,15
389,then you'll be fine.,15
390,Even though I dropped it more times than I can count.,15
391,"The white ones are nice in appearance and I liked the red stripe on the right hand side, which makes knowing which side is which very easy at a glance.",15
392,"When my daughter saw it the first time, she wants it because it matches with her Sony Laptop and now I had to order another one because I need one.",15
393,"When they came in the mail, he was thrilled.",15
394,They work quite well with a Nook HD+ and allow me to move without being entangled in wires when I put the Nook down to do something else.,15
395,"Nice headphones for the money, but the mic and noise canceling is very poor.",15
396,I bought the headphone set for my granddaughter and she was ecstatic!,15
397,I had discovered with the 220s that I had to have my phone in my right front pocket for a steady connection because the receiver for the headphones is in the right side.,15
398,I use it for watching movies on my ipad - not looking for the best quality audio for listening to music.,15
399,The only reason I gave it 4 instead of 5 stars is that the band is a little wide and I have a hard time to fit them well to my head.,15
400,They squeeze one's head like a vice.,16
401,I'm totally used to them now.,16
402,I bought two sets of these for my children (ages 4 and 6) to use on an airplane with their kindles.,16
403,The first one was for my child's schools needs.,16
404,These phones are used by a deaf friend of mine so he can listen to audio books.,16
405,Its more about the comfort while using it,16
406,"Even with these nitpicks, I still give these 5/5 stars.",16
407,They are hard plastic with little give.,16
408,It's not like the professional ones but it is great quality for the price and it may just last longer for me than my Behringer ones that only lasted a year and I payed more for!,16
409,"Pros: easy to connect, clear connection, compact

Cons: not tight enough on my ears nor my husband's therefore does not block out much background noise/other music at the gym

Overall, I am disappointed.",16
410,"Now they are probably a little bigger than what you think, but they fit nice around your ears, and provide some noise cancellation because of that.",16
411,"The battery life is ok, I just wish it had a longer battery life.",16
412,The bass was surprisingly strong and the mids and highs were acceptable for phones at this price.,16
413,I purchase the BTH240 and the BTD-400 bluetooth 4.0 USB adapter for my Dell laptop which I had recently converted from WIN7 to Ubuntu Linux 14.04.,16
414,"All other affordable headphones have only lasted me a few months, so, needless to say, I was very pleased with this pair.",16
415,Niceb Bluetooth headphones.,16
416,"They don't bother your ears at all, and they sound great.",16
417,If you don't plan on laying down in these you will not have any problems.,16
418,I love the way it sounds and feels.,16
419,Sound is clear.,16
420,It is very comfortable on the ear as well.,16
421,"I'm still on the fence on if I'll be trying another product from the company or not, because I really did feel it was an exceptional product for the price before the incident.",16
422,All of that compared to same priced motorola device.,16
423,This headset is equal to a much higher priced set.,16
424,Discomfort sets in after a few hours (I've been streaming a lot of Breaking Bad).,16
425,My earbuds are stronger and are more comfortable.,17
426,The only reason I won't give 5 stars is because they drop calls - even when you have a wifi assisted connection.,17
427,"I have never owned a ""behind the neck"" set of headphones.",17
428,"Overall, I highly recommend them for the average listener, but not for the audiophile snob types.",17
429,Sound is Muffled like it needs more power to drive it?,17
430,"I've been using it for a good 4 month to this date by now, and so far I had absolutely no trouble nor any malfunctions.",17
431,"He love the audio books and movies available, and raves about the excellent quality of these earphones to everyone.",17
432,Best headphone I've ever used.,17
433,Do not buy if you have large ears.,17
434,I have bought two sony headphones in my lifetime.,17
435,"They certainly do not compare to Bose in sound quality or comfort, but for the price, the sound quality is quite good and they appear to be reasonably durable.",17
436,Sound quality was moderate.,17
437,"I am purchasing another pair today so I can have a dedicated unit for work, I am confident my old pair will continue to perform for the next year so in my locker they go!",17
438,And it allows me to be able to speak to the little kids without trying to speak above the sounds from his math blasting out from the speakers!,17
439,Super durable I guess.,17
440,"They're definitely not the greatest headphones, but the sound quality IS good for the price.",17
441,"If you actually know anything about sound reproduction, these are great headphones!",17
442,The material appears sturdy enough.,17
443,SO these are comfortable.,17
444,These headphones were exactly what I was looking for.,17
445,"Easy to use, light (in spite of their size), these headphones are really perfect.",17
446,They're super durable.,17
447,These headphones are extremely uncomfortable to use for more than a few minutes at a time.,17
448,I was looking for decent over-the-ear headphones and found these on Amazon.,17
449,Range on the bluetooth is pretty generous before the audio drops.,17
450,"Once your headphones and device are connected, they're basically ready.",18
451,"My only complaint is that they're described as ""noise cancelling"" and they definitely are not.",18
452,Lastly I just want to say that these come with a nice sturdy cord.,18
453,Just a note ...,18
454,He can wear his helmet while riding his bike and still use these to listen to music.,18
455,"Good soun quality for simple video, music and talk hands free.",18
456,"Personally, they are a little big and don't quite fit.",18
457,I would highly recommend these headphones without any reservations.,18
458,If you are looking for legit stereo sound without paying an outrageous amount these are for you.,18
459,They still work as well as they did the day I got them.,18
460,Great for working around the house.,18
461,They do take a bit of getting use to getting them on your ears.,18
462,"They sound great, and function intuitively.",18
463,These are great!,18
464,"It came in the mail quite fast, sounds really good looks really good.",18
465,I'm no audiophile.,18
466,"For the price of this set, I'd give it my approval.",18
467,"It came in the mail quite fast, sounds really good looks really good.",18
468,"Stays securely in place, even on long runs.",18
469,"This is an Awsome wireless BlueTooth headset, especially for the bargain price.",18
470,Cops have showed up at my house to verify if everything is okay.,18
471,Does not look genuine sony product.,18
472,Phone calls sounded great on them and were very clear.,18
473,"Also, while it is lightly sitting on ear, it also isolates the noise pretty well.",18
